2025-09-01 18:56:09 | INFO     | app:startup_event:71 - 正在启动TTS服务...
2025-09-01 18:56:09 | INFO     | tts_processor:_load_model:35 - 正在加载TTS模型: tts_models/multilingual/multi-dataset/xtts_v2
2025-09-01 18:56:18 | INFO     | tts_processor:_load_model:54 - TTS模型加载成功
2025-09-01 18:56:18 | INFO     | app:startup_event:73 - TTS服务启动成功
2025-09-01 19:03:49 | INFO     | app:shutdown_event:84 - 正在关闭TTS服务...
2025-09-01 19:03:49 | INFO     | app:shutdown_event:87 - TTS服务已关闭
2025-09-01 19:03:58 | INFO     | app:startup_event:71 - 正在启动TTS服务...
2025-09-01 19:03:58 | INFO     | tts_processor:_load_model:35 - 正在加载TTS模型: tts_models/multilingual/multi-dataset/xtts_v2
2025-09-01 19:04:06 | INFO     | tts_processor:_load_model:54 - TTS模型加载成功
2025-09-01 19:04:06 | INFO     | app:startup_event:73 - TTS服务启动成功
2025-09-01 19:05:19 | INFO     | app:shutdown_event:84 - 正在关闭TTS服务...
2025-09-01 19:05:19 | INFO     | app:shutdown_event:87 - TTS服务已关闭
2025-09-01 19:05:26 | INFO     | app:startup_event:71 - 正在启动TTS服务...
2025-09-01 19:05:26 | INFO     | tts_processor:_load_model:36 - 正在加载TTS模型: tts_models/multilingual/multi-dataset/xtts_v2
2025-09-01 19:05:33 | INFO     | tts_processor:_load_model:55 - TTS模型加载成功
2025-09-01 19:05:33 | INFO     | app:startup_event:73 - TTS服务启动成功
2025-09-01 19:06:52 | WARNING  | tts_processor:get_available_speakers:172 - 无法获取说话人列表
2025-09-01 19:06:52 | WARNING  | tts_processor:get_available_speakers:172 - 无法获取说话人列表
2025-09-01 19:06:52 | WARNING  | tts_processor:get_available_speakers:172 - 无法获取说话人列表
2025-09-01 19:06:52 | INFO     | app:synthesize_speech:134 - 开始合成语音: 嬛嬛在此，姐姐有何吩咐？...
2025-09-01 19:06:52 | INFO     | tts_processor:synthesize_speech:68 - 开始合成语音，文本: 嬛嬛在此，姐姐有何吩咐？
2025-09-01 19:06:53 | INFO     | tts_processor:synthesize_speech:86 - 语音合成完成，输出文件: ../temp/8602480a-3bd4-4224-a7a3-73d7d0f60cec.wav
2025-09-01 19:06:53 | INFO     | app:synthesize_speech:178 - 语音合成完成，耗时: 1.02秒
2025-09-01 19:06:53 | DEBUG    | app:cleanup_old_files:102 - 清理过期文件: ../temp/test_recording.wav
2025-09-01 19:06:53 | DEBUG    | app:cleanup_old_files:102 - 清理过期文件: ../temp/tts_output.wav
2025-09-01 19:06:56 | INFO     | app:synthesize_speech:134 - 开始合成语音: 今日天气甚好，正是踏青的好时节。...
